{'短评内容': '房间太烂了，还不如住旅馆', '短评打分': 3}
{'短评内容': '还可以，就是网络不太好。', '短评打分': 4}
{'短评内容': 'wifi信号不稳定而且经常无网。被单洗的不干净', '短评打分': 3}
{'短评内容': 'Wifi不行，网速慢到没朋友，而且很不稳定。', '短评打分': 4}
{'短评内容': '凑活一晚、各方面都很一般。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '卫生马桶渗水，房间空气不好。', '短评打分': 2}
{'短评内容': '一般。地理位置还算可以', '短评打分': 3}
{'短评内容': '环境一般，服务一般。没窗户很吵。', '短评打分': 4}
{'短评内容': '环境设施对得起房价就是无线不好。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境，服务都很不错。', '短评打分': 4}
{'短评内容': '临时住了一晚上，酒店有点老，交通非常方便', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
