{'短评内容': '还可以，对面就是24小时拉面，北京华联很近，比较方便', '短评打分': 5}
{'短评内容': '交通方便，鄰近鼓樓步行街', '短评打分': 5}
{'短评内容': '酒店位置明显好找! 柜台客服速度以及效率都非常快，这是一次很满意的体验：)', '短评打分': 5}
{'短评内容': '服务可以，环境可以', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '帮客户订的，客服人员很有礼貌', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房间卫生干净      服务也挺不错    前台到客房整体比较专业  推介入住', '短评打分': 5}
{'短评内容': '挺好的，整体感觉非常完美，推介入住，停车免费，地理位置方便', '短评打分': 5}
{'短评内容': '一次物有超值的体验，推介入住，免费停车，地理方便，房间卫生干净整洁，服务甜美，', '短评打分': 5}
{'短评内容': '酒店装修超级棒，停车两晚免费，房间用品讲究，干净，用心，服务人员态度很好，谢谢酒店的贴心服务！祝愿酒店生意蒸蒸日上。', '短评打分': 5}
{'短评内容': '位置可以、设施陈旧。国庆期间涨价性价比不高', '短评打分': 3}
{'短评内容': '房间可以比较大！网速快！大体卫生可以，就是希望一些细节卫生再搞干净点！比如窗户、烧水壶都是看起来有灰尘！！', '短评打分': 3}
{'短评内容': '房间毛巾真叫脏，临街，太吵吵了，', '短评打分': 2}
{'短评内容': '酒店在市中心，条件还可以，就是国庆期间去的，价格很高', '短评打分': 5}
{'短评内容': '酒店不错，干净整齐，值得推荐，周围吃饭很方便', '短评打分': 5}
{'短评内容': '服务还不错，房间物品比较齐全，只是房间气味很不好，桌上、床上有很多灰尘，隔音效果也不咋地~（豪华单人间）', '短评打分': 3}
{'短评内容': '新酒店，硬件不错，交通很方便，服务一般，结账的时候竟然没有发票，也不提前告知客人，比较郁闷。', '短评打分': 4}
