{'短评内容': '早餐还可以，位置很好，很方便！', '短评打分': 5}
{'短评内容': '也估不到京东酒店那么好，还比其它网站便宜。', '短评打分': 5}
{'短评内容': '夏天人太多，不好订，价格也高。早餐很简单。如果不是因为近会有更好选择。', '短评打分': 5}
{'短评内容': '不错，可以挺干净', '短评打分': 5}
{'短评内容': '房间挺不错的，大而且很干净，风筒什么的也很齐全，服务人员态度也很好，下次去还会选择这里。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '非常干净', '短评打分': 5}
{'短评内容': '很喜欢这家店', '短评打分': 5}
{'短评内容': '很喜欢这家', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，宽敞安静卫生，但早歺太简单，感觉都不如速8的10元早歺', '短评打分': 5}
{'短评内容': '酒店很干净，服务很不错', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！', '短评打分': 4}
{'短评内容': '第三次住了，房间大，也挺干净的，开始网络不好，前台给了路由器，一下网速就好了', '短评打分': 5}
{'短评内容': '环境不错，出差都是住这', '短评打分': 3}
