{'descr': '经常来的一家', 'star': 5}
{'descr': '挺好的，性价比可以', 'star': 5}
{'descr': '帮同事定的，还是不错的，就是页面上说有赠送一个人的早餐，到店里后说没有，让人有点失望！其他都不错的！', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '没有早餐…', 'star': 4}
{'descr': '交通方便快捷', 'star': 5}
{'descr': '一般就这个价格啊!', 'star': 5}
{'descr': '服务差 到店才说酒店原因 退款 既然网上不能订为何不说满房', 'star': 5}
{'descr': '房间有点陈旧，感觉有点破', 'star': 3}
{'descr': '出差入住，停车不方便', 'star': 3}
{'descr': '还是不错的，正逢20,杭州风气太好了，周围有吃的有商场，可惜没听音乐喷泉', 'star': 5}
{'descr': '我的妈真的是我住过最差的酒店了  热水壶超级脏  被子睡了超级痒  窗户还他妈锁不上  晚上出去就没有什么地方可以玩', 'star': 1}
{'descr': '交通比较便利，出地铁不远就找到了。酒店的价格波动比较大，前一天、早上和晚上价格极可能相差很多，因为地段的关系，选择预定是因为酒店地理位置很好，靠近武林广场，步行5分钟内就到，前台服务还不错', 'star': 4}
{'descr': '位置好  价格便宜', 'star': 4}
{'descr': '价格实惠，服务员很有耐心', 'star': 5}
{'descr': '帮爸妈和他们的朋友订的，说是非常好，房间和床都非常舒服，洗澡水也很大，交通方便到哪里都合适，以后去杭州还会再次选择的', 'star': 5}
{'descr': '一般般', 'star': 4}
{'descr': 'Nice, clean hotel.Good location near Wulin square.', 'star': 3}
{'descr': '住宿环境还不错，挺安静的。离武林广场非常近', 'star': 5}
{'descr': '位置很好，到地铁站很近，到杭州大厦也很近。附近有各种吃饭的地方。去哪里都方便。酒店卫生还可以，汉庭一贯的作风', 'star': 5}
{'descr': '很好，很方便，很干净，闹中取静，在这样的位置，这个价位值！', 'star': 4}
{'descr': '房间一般，都是地段还是不错的。', 'star': 5}
{'descr': '前台很忙，电梯一个，不过环境地点还不错', 'star': 3}
{'descr': '不是太好，房间比较小，室内潮湿而且霉味重', 'star': 1}
{'descr': '整体比较满意，位置较好，也比较安静，性价比高，', 'star': 5}
{'descr': '招牌就很旧\u3000\u3000里面的电视机\u3000空调都是最老式的那种\u3000\u3000\u3000枕头都是硬枕\u3000\u3000被子就不用说了\u3000\u3000隔音效果一点都没有\u3000感觉给骗了', 'star': 3}
{'descr': '酒店实惠型，地理位置好，周边尽是大商场，特别适合晚上逛街。房间大小还行，挺干净，家庭房是新装修的，安全措施也有，就是隔音效果一般。停车位较少，建议扩大。服务态度不错，入住放心。', 'star': 5}
{'descr': '距离武林广场近，房间较小，还算干净,个人住将就', 'star': 5}
{'descr': '汉庭的服务还不错，但是窗户对着安全通道，房间里还发现两只虫子，可能一楼比较湿', 'star': 3}
{'descr': '还可以，小广告太多，客服很热情。', 'star': 3}
{'descr': '很舒适', 'star': 3}
{'descr': '房间设施齐全，由于小长假调休，住的那晚虽然是星期六，还是按平时价格给我降了价。\n不足：房间隔音效果差，晚上隔壁动静都能听见，结果有个小孩半夜狂哭。。。房间里没有wifi覆盖。', 'star': 5}
{'descr': '酒店还可以的，就是这个价位还没有早餐不大好！', 'star': 5}
{'descr': '地段好，交通方便，靠近机场大巴发车点，下雨天很吵', 'star': 5}
{'descr': '1. 地址位置非常优越，距离杭州大厦和武林广场步行也就5分钟。\n2. 酒店服务非常好，态度很好，很贴心\n3. 房间很干净，住在1楼也没有感觉很吵\n4. 住的房间没有窗户，所以稍微有点闷\n5. 总体来说非常好的住宿经历', 'star': 5}
{'descr': '还是不错的。暖气很热，热水也不错，服务也很到位，住的比较舒服。', 'star': 5}
{'descr': '室外空调声音很响，不过离武林广场真的很近，购物很方便。', 'star': 3}
{'descr': '非常满意', 'star': 3}
{'descr': '总体还可以，就是在一楼感觉没窗户似的，价格还算公道', 'star': 5}
{'descr': '大床房很舒服，服务员态度很好，价格也能接受。', 'star': 3}
{'descr': '各项服务都很好，很满意！', 'star': 3}
{'descr': '交通方便, 总体有点旧了, 还是汉庭的风格标准, 住住还是可以的.周末还有百元房的..............', 'star': 5}
{'descr': '很满意~很不错的 房间很大很干净。地理位置优越，出行方便，离延安路的银泰百货很近，去解百也方便。周围设施有水果店、餐饮店，银行网点全。 酒店服务人员服务态度很好。打扫卫生的阿姨也很热情~\n', 'star': 5}
{'descr': '房间内还行，宽敞明亮，也简单干净。就是被安排在一楼工作室傍边的房间，比较吵。电视机比较老，没有IPTV点播没有什么东西好看。', 'star': 5}
{'descr': '很潮。屋里有异味。卫生条件还不好。服务态度极其差劲！', 'star': 1}
{'descr': '距离武林近\n出行方便\n房间干净\nBUCUO', 'star': 5}
{'descr': '非常干净整洁，早餐非常丰富，房间干净\n还会再来', 'star': 5}
{'descr': '位置一般,周围没有便利点很不好,284一晚的价格来说贵了.', 'star': 3}
{'descr': '各方面都感觉蛮不错得的！!1!！1!！1', 'star': 5}
{'descr': '一般般吧 是我住过比较不好的汉庭了 服务和房间设施各方面都不怎么好 预订的是大床房 居然到的时候没有了 只有双床房 理由不明 据说是传真坏了 其实我觉得这不能作为理由 还有几个其他的问题出现 懒得说了 不大好', 'star': 1}
{'descr': '位置不错，但是房间一般，不能体现性价比…停车场很小，停不了几辆车…', 'star': 3}
{'descr': '酒店环境不错，靠近市中心，出行、吃喝玩乐都很方便。下次再去杭州，会考录再次入住。', 'star': 5}
{'descr': '＋环境比较干净服务员态度蛮热情', 'star': 3}
{'descr': '不错，所有的设施服务值这个价.但每个点有差别', 'star': 5}
{'descr': '离武林广场近，交通确实便利，吃也方便，我住的231房，设施稍显陈旧，晚上窗外的空调外机巨响，严重影响睡眠，反映了几次，也没用。遗憾！', 'star': 1}
{'descr': '挺不错的，服务小姐态度很好', 'star': 3}
{'descr': ' 交通方便，停车也免费，不错。', 'star': 3}
{'descr': '房间比较舒适，比较宽敞，服务态度也不错。', 'star': 5}
{'descr': '位置不错 许多公交车站都到武林门 距机场巴士终点站也很近 也就四五百米\n早餐的粥挺好喝 卫生状况良好', 'star': 5}
{'descr': '酒店很干净 服务热情  地处市中心 够物方使   赞一下', 'star': 3}
{'descr': '定的是新春百元房，地方比较好找，就在杭州游泳馆南面100米。房间也比较安静，总之对于100元来说，还是非常值得的', 'star': 5}
{'descr': '酒店很好，很干净，地段在市中心很方便。房间宽敞干净，酒店的服务也好', 'star': 5}
{'descr': '不错,干净清爽,就是房间小了点.服务可以,希望价格低点,不断有特价房推出.', 'star': 5}
{'descr': '＋感觉不错，位置好\n^_^', 'star': 3}
{'descr': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', 'star': 5}
{'descr': '物超所值，除了前台服务态度差之外，这个百元酒店各个方面都是物超所值，希望百元活动继续进行下去，我会一如既往优先选择入住。', 'star': 5}
{'descr': '房间不错，下次还会订。', 'star': 3}
{'descr': '房间很干净，位置很好，基本在市中心，去哪都非常方便，酒店在院子里，所以很安静', 'star': 5}
{'descr': '除了房子旧点，其他都挺好的。', 'star': 3}
{'descr': '这个酒店很多次入住了。吃住都方便不错。就是设施稍稍旧了点。服务不错。结帐时有时人多哦。', 'star': 5}
{'descr': '比较不错的位置，靠近杭州市购物中心，游西湖也比较方便', 'star': 5}
{'descr': '真的很不错，房间满意，100元的房间也一样好', 'star': 5}
{'descr': '还不错，主要是方便去机场售票处搭车，不用怕塞车，出店不远就到', 'star': 5}
{'descr': '房间太小，透气性不好，价格也特别高。如果逛杭州大厦的话，挺方便的，走路10分钟就可以。到西湖也还好！', 'star': 1}
{'descr': ' 不错', 'star': 5}
{'descr': '服务还可以，地理位置一般，去任何一个景点基本都要打车', 'star': 3}
{'descr': '不错，确实不错，比较安静，环境也行！就是这家店的位置稍微难找一点，整体评价在北京这个价格应该算是不错了！', 'star': 3}
{'descr': '环境还行，但是：\n1.经济间居然没有一次性拖鞋\n2.位置的确有点难找，不过问问路还是没问题的。。。\n3.88元特价经济房真的很实惠。。。', 'star': 3}
