{'短评内容': '酒店位置很好，离火车站很近，最喜欢的就是它浴室的水很大，在樟木头算是性价比很高的了，我每次来都住的这里。', '短评打分': 5}
{'短评内容': '干净，卫生，服务好', '短评打分': 5}
{'短评内容': '去了好多次，周边方便，不错，吃喝玩乐一体', '短评打分': 5}
{'短评内容': '卫生干净，地理位置优越', '短评打分': 5}
{'短评内容': '去了好多次，周边方便，不错', '短评打分': 5}
{'短评内容': '位置好，性价比高，值得再去', '短评打分': 5}
{'短评内容': '卫生干净，服务周到，', '短评打分': 5}
{'短评内容': '很好，下次再来', '短评打分': 5}
{'短评内容': '维也纳住着就是舒服！', '短评打分': 5}
{'短评内容': '位置也好，性价比高，值得去', '短评打分': 5}
{'短评内容': '平日最愛住的酒店，以前都是攜程上預訂的差不多每週一次，實際體驗過真的不錯，在東莞的價格也是比較實惠呢！', '短评打分': 5}
{'短评内容': '很满意，卫生又安静', '短评打分': 5}
{'短评内容': '房间感觉上还是不错的，只是没窗户。很闷', '短评打分': 4}
{'短评内容': '价格合适，房间舒适宽敞装修风格不错，期待下次继续！', '短评打分': 5}
{'短评内容': '遇见装修了！', '短评打分': 4}
{'短评内容': '很不错，自从朋友介绍这家酒店以后，我每次来樟木头出差都会选择住这家。比较干净，服务也不错，位置好，去哪里都方便。', '短评打分': 5}
{'短评内容': '这个价钱也是这样的了', '短评打分': 4}
{'短评内容': 'Good room', '短评打分': 4}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '位置可以。方便。不过房间有点旧', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '论这个价格来说，就比较可以！', '短评打分': 4}
{'短评内容': '房间比较大，卫生条件差！', '短评打分': 2}
{'短评内容': '旁边吃的东西也很多', '短评打分': 4}
{'短评内容': '交通也很方便', '短评打分': 4}
{'短评内容': '交通很方便，旁边吃的东西也很多', '短评打分': 4}
{'短评内容': '空调很凉．．．很安静．．．', '短评打分': 5}
{'短评内容': '空调下半夜坏了．．．', '短评打分': 3}
