{'短评内容': '商务处差入住非常不错', '短评打分': 5}
{'短评内容': '服务不错，周边吃饭很方便，适合选择！', '短评打分': 5}
{'短评内容': '不错很贴心的酒店', '短评打分': 5}
{'短评内容': '房间挺好，很大干净卫生', '短评打分': 5}
{'短评内容': '洗澡水超级热，空调也很舒服，遮光窗帘效果超好，吃饭超级方面，本以为这种楼可能不大安全，结果一走出电梯门看见有为老爷爷在做来访登记，瞬间安心了，不错不错', '短评打分': 5}
{'短评内容': '，，，，，，，，路边有点吵', '短评打分': 5}
{'短评内容': '不好不好，不好不好，卫生差，房间小，', '短评打分': 5}
{'短评内容': '很差劲，很不靠谱', '短评打分': 1}
{'短评内容': '还好吧，比较便宜，这是最大的优点', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '定了，地方挺干净，东西也不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格不便宜，但是房间有霉味，床单上有斑点，不知道是什么。房间里没有矿泉水，问前台，前台说我订的房间是没有的，别的房间有，不差这么点钱吧？搞的我以后不敢住速8了。', '短评打分': 4}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '真垃圾，店员态度特别差，还吓算时间', '短评打分': 2}
{'短评内容': '租的房间是在顶层，没有楼上噪音的干扰，装修也很有商务感，就是网速不太行', '短评打分': 5}
{'短评内容': '不错的，价格又便宜', '短评打分': 5}
{'短评内容': '酒店是否给力？快分享你的购买心得吧~', '短评打分': 5}
{'短评内容': '还不错的 物美价廉 附近吃的喝的玩的很多  性价比不错的  值得推荐', '短评打分': 5}
{'短评内容': '卫生间有点小，卫生还可以，位置很方便。。。。。', '短评打分': 5}
{'短评内容': '窗户锁是坏的。门的防盗锁是坏的。。其他的都还可以。', '短评打分': 1}
{'短评内容': '房间舒适，交通方便', '短评打分': 3}
{'短评内容': '住过好几次，设施干净，环境不错，外面吃饭也很方便。', '短评打分': 3}
{'短评内容': '房间一般  空调很好  环境一般  就是装修有点吵', '短评打分': 5}
{'短评内容': '.还好  房间一般  床睡着不舒服  灯蛮好看的  无线也没有。。。。', '短评打分': 5}
{'短评内容': '挺好的环境，就是隔音效果不太好。推荐啦，服务不错噢', '短评打分': 5}
{'短评内容': ' 有个前台真恶心，非要我们办会员卡，我们没办就拿个最差的房间', '短评打分': 3}
{'短评内容': '房间挺大的，，没觉得压抑。十楼，，也挺安静的。', '短评打分': 3}
