{'短评内容': '很好的酒店，方便服务好，早餐丰富', '短评打分': 5}
{'短评内容': '一直住中汇大酒店，古老传统又舒服的酒店，强烈推荐', '短评打分': 5}
{'短评内容': '给朋友订的，他说房间不错很干净，办理入住快，服务好。早餐很丰富值得推荐！', '短评打分': 5}
{'短评内容': '环境还好，就是四星级没浴袍', '短评打分': 4}
{'短评内容': '早餐一般，服务态度还可以适合不挑剔的', '短评打分': 5}
{'短评内容': '房间很漂亮，有送水果和迎宾茶。大堂香气扑鼻，总台服务热情，客房服务也很好，早餐很丰富，服务不错！', '短评打分': 5}
{'短评内容': '挺不错的一家四星级酒店，服务不错，环境不错！', '短评打分': 5}
{'短评内容': '还不错，就是房间比较旧', '短评打分': 5}
{'短评内容': '酒店环境不错，前台服务态度也很好，硬件设施离四星级酒店还有点距离。总体来看还是不错的。', '短评打分': 5}
{'短评内容': '服务热情，房间不错', '短评打分': 5}
{'短评内容': '房间很好，有送水果。服务也很周到', '短评打分': 5}
{'短评内容': '总的感觉不是很好', '短评打分': 2}
{'短评内容': '安吉中汇大酒店服务很好，交通方便', '短评打分': 5}
{'短评内容': '安吉中汇大酒店服务很好，交通方便', '短评打分': 5}
{'短评内容': '安吉中汇大酒店服务很好，交通方便', '短评打分': 5}
