{'短评内容': '环境不错，卫生干净，交通方便！！！！！！！！！！', '短评打分': 5}
{'短评内容': '电梯不行', '短评打分': 3}
{'短评内容': '房间不错，干净卫生，还会再来', '短评打分': 5}
{'短评内容': '差差差差！', '短评打分': 1}
{'短评内容': '手机网络预订房间方便，支付快捷通畅。房间打扫干净整洁卫生。', '短评打分': 5}
{'短评内容': '位置不错，也不是太吵，设施还可以，但是卫生间洗澡的地方没有防滑的，卫生条件一般，浴巾和毛巾不像其他酒店都是用一次性塑料袋包好的', '短评打分': 4}
{'短评内容': '位置不错，也不是太吵，设施还可以，但是卫生间洗澡的地方没有防滑的，卫生条件一般，浴巾和毛巾不像其他酒店都是用一次性塑料袋包好的', '短评打分': 4}
{'短评内容': '五一去滴水湖，很临时订的，还好有房，其实住得还可以，就是楼下那个卖东西的太吵了', '短评打分': 3}
{'短评内容': '地段位子好，交通购物方便，客房一般！', '短评打分': 3}
{'短评内容': '房间很大，很干净，老板人很好。赞一个', '短评打分': 5}
{'短评内容': '房间里面还是很好的，宾馆位置也在步行街，只是淋浴间会有气味，到了9点步行街商家活跃了就有点吵', '短评打分': 5}
{'短评内容': '就在步行的上，逛街挺方便的', '短评打分': 5}
{'短评内容': '艺龙上看到的 是有电脑去了里面没有电脑 房间还可以 只是电视没几个台 不是很清晰', '短评打分': 3}
{'短评内容': '环境一般，设施一般！', '短评打分': 3}
