{'短评内容': '酒店位置很好！房间也大！', '短评打分': 5}
{'短评内容': '刚装修的房间；还可以', '短评打分': 5}
{'短评内容': '续住一晚上，继续点评。附近不远有银泰百货等商场，吃饭的地方也挺多，虽然临街，倒也挺安静，不嘈闹。住住也可以。', '短评打分': 5}
{'短评内容': '早餐一般，品种也算有一些，两种粥，面条馄饨鸡蛋都有。面包，色拉也都有。就是热菜比较少，感觉j', '短评打分': 5}
{'短评内容': '因为有事本来想着退房的，但是因为网上预定的问题不能退房，就想着将就住一晚，结果到房间看到有一张床好像有人睡过，烟灰缸有烟头，地上有药壳，跟楼下总台反应这个问题，他说她没忙好，稍微等下，你可以想下瞬间的心情，真不想给差评。后面直接没住，就回家了，', '短评打分': 1}
{'短评内容': '空调、热水不好。zzz', '短评打分': 5}
{'短评内容': '环境很好   单间看着很舒适', '短评打分': 5}
{'短评内容': '房间不错，住着舒适，有早餐，价格实惠。', '短评打分': 5}
{'短评内容': '周边环境非常的方便，房间也新，态度不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的啊全新装修还可以', '短评打分': 5}
{'短评内容': '酒店的环境还是不错的，但是热水是达到了温水的温度，对于冬天洗澡怕冷的人来说，水温太低…而且还要等…据说是在维修…暖气也不是全天供应，只有在晚上的固定时间开放…', '短评打分': 4}
{'短评内容': '房间大，26楼俯瞰夜景，唯一不好的是在会所楼上，感觉人员有点复杂', '短评打分': 5}
{'短评内容': '早餐差了点，其他还行，关键是方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '空调不是很热声音比较大，总体还是可以的', '短评打分': 4}
{'短评内容': '酒店地理位置很好，很中心，作为商务型酒店，服务很周到仔细，设施齐全，房间干净舒适，让人感觉很舒心。下次有机会会再入住。早餐丰富。酒店地理位置很好，很中心，作为商务型酒店，服务很周到仔细，设施齐全，房间干净舒适，让人感觉很舒心。离江南商业中心很近，如银泰百货，逛街比较方便，还是值得推荐的！', '短评打分': 4}
{'短评内容': '酒店位置还不错。就是有点旧了。', '短评打分': 4}
{'短评内容': ' 还好的。', '短评打分': 3}
{'短评内容': '价格不错 环境不错 早饭不错 值得再去一次', '短评打分': 5}
{'短评内容': ' 房间很大，很宽阔。金华的酒店比义乌的性价比要高。装修精致大气。晚上入住后还送水果拚盘，很惊喜。早餐还不错，就是茶餐厅偏小了些。总体而言，很值得推荐。', '短评打分': 3}
{'短评内容': '价格还是比较实惠的，酒店也蛮干净，就是房间内没有无线网络。其它都不错', '短评打分': 5}
{'短评内容': '酒店不错，还有早餐，虽然简单了点，但是物超所值，还是蛮好的。。', '短评打分': 5}
{'短评内容': '＋酒店地理位置优越，装修高档       金华最市中心位置，双龙南街是金华主干道。酒店装修较佳，都是按四星级设计的。房间比较宽敞。卫生间设计偏小，仅够容身。', '短评打分': 3}
{'短评内容': '地段不错，离市政府近，性价比比较高，早餐比较丰富。', '短评打分': 5}
{'短评内容': '还不错，就是价格贵了点', '短评打分': 3}
{'短评内容': '去到金华，每次都住该酒店。都不知道该说什么了？', '短评打分': 5}
{'短评内容': '商旅最佳住所，物有所值。可以升级哦！美中不足，早餐差点。\n', '短评打分': 5}
{'短评内容': '酒店地处市中心，周围有世纪联华超市和中心公园，餐厅等。出入方便。客房较大，集着舒服，早餐可以，不像网上点评的那么差', '短评打分': 3}
{'短评内容': '地理位置很好 环境也不错 只是早餐有待改进', '短评打分': 5}
{'短评内容': '厕所不错.....\n因为早上起得迟一直没吃到早饭....', '短评打分': 5}
{'短评内容': ' 环境不错，性价比高，服务也挺好。', '短评打分': 3}
{'短评内容': '酒店很不错  房间也蛮大的   早餐的样式挺多', '短评打分': 5}
{'短评内容': '房间挺大的，交通方便，不错不错，电视能收到很多频道', '短评打分': 5}
{'短评内容': '住金华的首选，环境幽静，房间设施也很好，下次再来', '短评打分': 5}
{'短评内容': '散客的点餐不能提供，酒店的理由是客满，房间设施很陈旧，空调象轰炸机，隔音很差', '短评打分': 1}
{'短评内容': '酒店很干净，性价比高，下次来还会住这家。', '短评打分': 3}
{'短评内容': '大床房有电脑，不过每次我都没有用！早餐居然没有咖啡？失望，之前是有的哦。。。', '短评打分': 5}
