{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间大，服务热情，位置优越，网络好', '短评打分': 5}
{'短评内容': '房间挺大的，暖气很足。', '短评打分': 5}
{'短评内容': '服务人员态度好房间干净', '短评打分': 5}
{'短评内容': '早餐可口有豆浆，距离地铁14号线很近，直达南站，卫生干净，挺好。', '短评打分': 5}
{'短评内容': '很好，住的还不错', '短评打分': 5}
{'短评内容': '服务态度很专业，房间很棒，对面就是工业大学，很便捷', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间干净卫生，房间比较大。', '短评打分': 5}
{'短评内容': '交通方便，周边吃饭的地方很多。', '短评打分': 5}
{'短评内容': '挺好，挺干净，安全，周边也方便', '短评打分': 5}
{'短评内容': '挺不错的。离地铁站特别近。', '短评打分': 5}
{'短评内容': '就那么回事吧，北京的酒店，又贵房间还紧张', '短评打分': 5}
{'短评内容': '123456789012', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '暖气太热啦~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '一直都选择汉庭，便宜，地理位置也好，离地铁很近~', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '房间一进去就是很浓很浓的烟味还是啥臭味，也不干净，关键还不便宜，总之不推荐，性价比很低。', '短评打分': 2}
{'短评内容': '感觉很不错！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住过最差的汉庭，设施太烂，喷头出水太细了，半天不出热水，明明就是有问题，还不给换房，最后只能放弃洗澡，太让我失望了。', '短评打分': 1}
{'短评内容': '额，不值这个价', '短评打分': 3}
{'短评内容': '地理位置好，服务好。', '短评打分': 5}
{'短评内容': '就在北工大旁边，旁边有个面包店吃早饭方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间面积比较大。早餐在四楼地方太小了。', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 4}
