{'短评内容': '去的时候有些地方在建，不过也不影响入住，湖上的家庭房很适合两家人入住，很凉快，景致也很好，陆地上的别墅同样景致很不错，可以看到湖心风景', '短评打分': 5}
{'短评内容': '在带孩子老婆环岛游时无意中看到这个酒店的，环境没的说，是建在水库上面的，路也不难走，唯一的缺憾是，酒店只是试运营，餐厅用餐方面欠缺，晚上我们开车到五指山市里吃的饭。', '短评打分': 5}
{'短评内容': '此生住过最美的酒店！美翻了', '短评打分': 5}
{'短评内容': '还成吧吧吧', '短评打分': 5}
{'短评内容': '已经住了两天了，环境幽静，设施完善，服务周到。只是感觉餐饮水平有待提高。湖中的网箱养鱼破坏了画一般的美景，应移到边脚地带。', '短评打分': 5}
{'短评内容': '酒店环境、设施、服务都不错。餐饮不太好。', '短评打分': 5}
{'短评内容': '安静！', '短评打分': 5}
{'短评内容': '不是第一次入住了，非常满意！', '短评打分': 3}
{'短评内容': '幽静…适合渡假', '短评打分': 5}
{'短评内容': '环境不错，就是餐厅价格有点小贵', '短评打分': 5}
{'短评内容': '很好，环境不错，风景很美', '短评打分': 5}
{'短评内容': '餐食水平有待提高，选择品种需更多样，尤其是早餐。', '短评打分': 4}
