{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '挺好的，环境非常好，适合出行', '短评打分': 5}
{'短评内容': '环境非常好 床很舒服', '短评打分': 5}
{'短评内容': '整体来说非常好 床也特别软 就是停车场里停了很多社会车辆 其他的没有不满意', '短评打分': 5}
{'短评内容': '酒店真的很好', '短评打分': 5}
{'短评内容': '很好，寄存行李很方便', '短评打分': 5}
{'短评内容': '很好，离家近住着方便，我好喜欢。。', '短评打分': 5}
{'短评内容': '很不错的酒店，住着很方便，服务很到位。。', '短评打分': 5}
{'短评内容': '位置非常方便，总体感觉不错。。', '短评打分': 5}
{'短评内容': '位置还算便利，酒店装饰档次都不错，价格非常实惠！', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '房间可以，服务欠佳，早餐种类多。酒店接团队及会议住宿较多，有时出现人员嘈杂现象，综合一般。', '短评打分': 5}
{'短评内容': '没有住维景酒店，商家给换了一家，还是不错，就是远了点', '短评打分': 5}
{'短评内容': '没有住维景酒店，商家给换了一家，还是不错，就是远了点', '短评打分': 5}
{'短评内容': '没有住维景酒店，商家过了一家，还是不错哟，就是太远了', '短评打分': 5}
{'短评内容': '没有住上维景酒店，商家换了一家酒店，还是不错，就是远了点', '短评打分': 5}
{'短评内容': '房间不是很大。比较小。', '短评打分': 4}
