{'短评内容': '孩子且', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '罢了', '短评打分': 3}
{'短评内容': '位置一般！环境还可以！就是很多东西都用不了！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般吧，没有想像的那么好', '短评打分': 5}
{'短评内容': '房间很好很满意性价比很高', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以不錯', '短评打分': 5}
{'短评内容': '携程上的是两百多，结果到店里是三百多，而且预定了还不能退，前台的阿姨脾气好大，建议不要去', '短评打分': 1}
{'短评内容': '这是我住过房间最脏的宾馆，没有之一！', '短评打分': 3}
{'短评内容': '不太干净', '短评打分': 3}
{'短评内容': '适合年轻人', '短评打分': 3}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '太一般了，还那么贵 周末团购不了，周末的房价275 我也是醉了', '短评打分': 2}
{'短评内容': '这是我有史以来住过最坑爹最垃圾的酒店。没有之一！环境就不说了，服务简直就是渣。12点退房迟一分钟都不行，房间倒是蛮大。空调完全不起作用。水龙头漏水，整个房间脏呼呼的。', '短评打分': 2}
{'短评内容': '服务恶心', '短评打分': 1}
