{'短评内容': '实惠', '短评打分': 4}
{'短评内容': '酒店由7栋村民小别墅组成，位置稍偏，乘公交车到各景点均需10元一次，晚上回来晚了车不好等。酒店离索道近，去佛顶山方便。附近有合兴村服务中心在施工，早上想睡懒觉被吵醒。批评一下接站的小伙子，看不见客人背着行李包，拉着行李箱，没有帮忙的意思', '短评打分': 4}
{'短评内容': '除了卫生差些，够安静', '短评打分': 4}
{'短评内容': '挺远的，条件一般。', '短评打分': 4}
{'短评内容': '房间比较小，隔音效果也不太好，早上很早就被吵醒了，住在山顶，其实不如住山入口那边，提着东西逛了2天。', '短评打分': 4}
{'短评内容': '每年都是这里住，挺好的', '短评打分': 5}
{'短评内容': '星期六和星期天价格相差太大，让人很不舒服，地理位置偏远，还没起床，服务员就开门进来了，吓人一跳，这样安全吗', '短评打分': 3}
{'短评内容': '和简介上完全不一样啊', '短评打分': 3}
{'短评内容': '房间有点小,', '短评打分': 4}
{'短评内容': '很好，第二次住了，两年前第一次是跟团住的，印象就不错，这次来普陀自由行，就自己订了这家，感觉依然不错。', '短评打分': 5}
{'短评内容': '卫生还可以，洗澡的水太小了，而且开很久很久才出热水', '短评打分': 4}
{'短评内容': '农家乐房间很干净，旅游团多非常吵。一早被啪啪的敲门声吵醒，敲个们不知道温柔点，何况还是敲错了！吓屎宝宝了', '短评打分': 5}
{'短评内容': '在日益增长的物价面前，这里的标间也要420一间我也是有些醉了。前台跟房间不是一栋楼里的，房间很小，浴室水也不大，房间的电话好像是坏的，想打电话到前台让人送点厕纸也不是很方便。房间隔音效果很差，走廊讲话房间内听得清清楚楚，不过毕竟是农家乐，也不能要求太多。建议自带拖鞋，里面只提供公用的塑料拖鞋。最重要的是！不要去吃里面的晚饭！好贵好贵的！宫爆鸡丁78元一份，紫菜虾皮汤40元，花蛤55元，再加上一份粉', '短评打分': 3}
{'短评内容': '住宿位于索道及宝陀讲寺附近。如果计划第二天早上乘坐索道去佛顶山，是很方便。如果第二天计划是爬上佛顶山，就需要先坐车到法雨寺。房间还是比较干净的。就是烧热水的热水壶放置在走廊上，属于公用的。另外，不知道是不是普陀山经常停电，第二天早上六点，住的地方就停电了。  住宿附近吃饭比较贵，建议事先自己可以备些方便面。', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 5}
