{'短评内容': '好评好评好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '好评好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '好评好评好评好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '房间比较小特别是卫生间太小，靠路边有点吵。床很软很舒服', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还不错，位置挺不错', '短评打分': 5}
{'短评内容': '非常优秀的酒店，干净，大堂的服务员很热情，工作效率很高，', '短评打分': 5}
{'短评内容': '环境较好！服务好！', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好、非常满意、舒适度很好', '短评打分': 5}
{'短评内容': '服务人员蛮热情', '短评打分': 5}
{'短评内容': '房间干净，服务好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '枕头好舒服，环境也非常不错，服务也很好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，赞', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '干净舒适交通便利', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '还行 卫生间和床头的纸都只放一点点 打了电话说马上送过来一直没来', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好的！！！！', '短评打分': 5}
{'短评内容': '隔音很好、床也很舒服。出差值得推荐', '短评打分': 5}
{'短评内容': '干净整洁，值得五星，', '短评打分': 5}
{'短评内容': '还行吧。标准房太小了。而且不规则的', '短评打分': 4}
{'短评内容': '未入住', '短评打分': 5}
{'短评内容': '住的挺好的，舒服。。', '短评打分': 5}
{'短评内容': '不管是服务还是早点～房间设备都较满意', '短评打分': 5}
{'短评内容': '楼下KTV挺抄的', '短评打分': 5}
{'短评内容': '整体不错！', '短评打分': 5}
{'短评内容': '还行吧，服务蛮好的', '短评打分': 4}
{'短评内容': '房间干净，服务态度非常好，价格也不高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '与价格成正比！', '短评打分': 3}
{'短评内容': '环境很好，舒服自在，感觉不错', '短评打分': 5}
{'短评内容': '酒店设施还不错，早饭也不错，貌似在南昌老城区，旁边有个灯具市场，交通太乱了', '短评打分': 4}
{'短评内容': '在灯具市场旁边，很方便！刚装修的，环境不错！', '短评打分': 4}
