{'短评内容': '老板娘很热情，早餐一百分，赶上下雨阳台没有充分利用~可惜了~位置不是很好找，但周围环境还是非常不错的~', '短评打分': 5}
{'短评内容': '小而清洁，价廉物美', '短评打分': 4}
{'短评内容': '酒店在上满觉陇，中间位置还不错，不临街', '短评打分': 5}
{'短评内容': '适合带孩子，有家庭房', '短评打分': 5}
{'短评内容': '未能出行，不能退，建议如提前三天退订的，可退一半房费，不然太亏了。未能出行，不能退，建议如提前三天退订的，可退一半房费，不然太亏了。', '短评打分': 5}
{'短评内容': '民宿很不错。', '短评打分': 5}
{'短评内容': '环境不错，值得再去', '短评打分': 5}
{'短评内容': '很舒心, 下次带家人来', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '安静舒心酒店细心下次再来', '短评打分': 5}
{'短评内容': '房间干净，服务也挺好的！', '短评打分': 3}
{'短评内容': '啦啦啦', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间干净整洁，院子温馨宁静，特别要夸赞的是早餐，现吃现做，及其丰富美味', '短评打分': 5}
{'短评内容': '第n次入住了！房间舒服。非常安静，床垫也非常舒适不会太软。睡眠非常好。交通也挺方便。', '短评打分': 3}
