{'短评内容': '酒店一般不推荐', '短评打分': 3}
{'短评内容': '酒店一般不推荐', '短评打分': 3}
{'短评内容': '房间很大，价格便宜能停车。', '短评打分': 5}
{'短评内容': '酒店不错  环境原因  相信会好转的', '短评打分': 4}
{'短评内容': '家里人说 位置有点远 不太好找 但价格还算便宜', '短评打分': 5}
{'短评内容': '酒店在解放路，本来交通应该很方便的。只是去的时候在修路，所以不太好走。但是酒店可以安排司机包车接机，司机人很好，开车开的特别平稳安全。酒店价格简直是业界良心。房间比较宽敞，干净。前台的工作人员也非常有耐心，很好，推荐入住。', '短评打分': 5}
{'短评内容': '酒店在解放路，本来交通应该很方便的。只是去的时候在修路，所以不太好走。但是酒店可以安排司机包车接机，司机人很好，开车开的特别平稳安全。酒店价格简直是业界良心。房间比较宽敞，干净。前台的工作人员也非常有耐心，很好，推荐入住。', '短评打分': 5}
{'短评内容': '此酒店位于解放路回新村口处，交通便利，适合自驾游或一家三口居住，停车场地大，经济实惠，离三亚湾直线800米处。很适合我，好评', '短评打分': 4}
{'短评内容': '还可以，就是附近的环境有点差', '短评打分': 3}
{'短评内容': '在回新村对面 交通不是很方便 但酒店还不错 房间干净 有阳台 总体还是比较赞的', '短评打分': 3}
{'短评内容': '这里就是旅行团住的多，自由行我真是不太赞成住这里。吃个饭都好难的，因为附近都是回民。但总体性价比挺高，服务态度也挺好，算是满意吧！', '短评打分': 3}
{'短评内容': '位置太偏僻了，打车都不方便！唯一优点是便宜！', '短评打分': 3}
