{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，，，，，，，，，', '短评打分': 5}
{'短评内容': '推荐，，，，，，，，，', '短评打分': 5}
{'短评内容': '这个价格还算可以，中山路附近，BRT出行方便，环境一般，卫生还好，窗户没有防盗网 ，凑个字得80积分', '短评打分': 4}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '很好床特别舒服', '短评打分': 5}
{'短评内容': '环境干净，服务态度好', '短评打分': 5}
{'短评内容': '幽静，可以!', '短评打分': 5}
{'短评内容': '设施齐全，环境还行吧，服务也还行&hellip;&hellip;', '短评打分': 4}
{'短评内容': '推荐 不错 住很多天的 下次还来推荐 不错 住很多天的 下次还来', '短评打分': 5}
{'短评内容': '推荐 不错 住很多天的 下次还来推荐 不错 住很多天的 下次还来', '短评打分': 5}
{'短评内容': '推荐 不错 住很多天的 下次还来推荐 不错 住很多天的 下次还来', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，交通便利，还挺便宜的', '短评打分': 5}
{'短评内容': '经常来厦门入住的酒店，很不错', '短评打分': 5}
{'短评内容': '位置稍微有点偏 但是很好找 出门就是公交车站 去哪个景点都直达 带早餐特别好 不用早起出去觅食 本来就定一宿 来看了后很满意就决定后两晚都住这了 我带着爸妈和孩子 一间大房经济实惠', '短评打分': 5}
{'短评内容': '就是房间有点小，设施挺好，地理位置离中山路2站公交，比较近，距离厦大也不是很远，可以步行！酒店在小区里面，比较安静！有免费的奶茶和咖啡供应～', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很安静，wifi也很给力，榻榻米很舒服，有点旧但是总体很温馨啦，面积也不算小的，性价比高。', '短评打分': 5}
{'短评内容': '交通方便，周围坏境很好，房间也很好', '短评打分': 5}
{'短评内容': '棒棒棒', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '前台人好好啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '酒店很给力，住的比较舒心，交通也很方便，比较满意。', '短评打分': 5}
{'短评内容': '酒店挺容易找的，房间不错，服务也不错。不过入住两天，第二天没有给我们换床单被罩哦。', '短评打分': 3}
{'短评内容': '总体还行。。卫生还有点小问题，房间里面有点味道，然后个性房事榻榻米的，预定的时候都不懂，很麻烦。。', '短评打分': 5}
{'短评内容': '第二次入住，很喜欢这家店，以后再去厦门还是会入住这里！', '短评打分': 5}
{'短评内容': '今日入住，前台小姐服务很好，不但介绍了房间情况，当得知是来厦门旅游的，还送地图并详细介绍住处周围出行和吃饭的行情等。不错，只是房间（家庭房）稍小简陋点，缺个衣橱，不过影响不大。', '短评打分': 5}
{'短评内容': '还可以，交通挺方便，前台态度好，热情，有免费的地图，房子里也有免费的矿泉水和茶叶。就是房间的有点霉了。', '短评打分': 5}
{'短评内容': '酒店非常好。前台很热情。房间宽敞干净。有无线，可以点播电视，非常舒适。', '短评打分': 3}
{'短评内容': '很干净，很舒服，晚上睡觉很安静。下次还来。', '短评打分': 3}
{'短评内容': '整体不错！床给力。一张1米8一张1米3 一家人住睡的舒服。家庭房卫生间小了一点，还可以接受。窗户有点小，而且窗的位子很高（意思是你看不到窗外风景 除了通风 没意义）。卫星电视还能免费看超多电影这个没想到。服务态度那是相当好，热情积极。没话讲！好！就是还要额外交11块的政府基金，办入住的时候晕到我了。', '短评打分': 5}
{'短评内容': '酒店位置非常好，离我要去的地方都非常近。服务态度也好，下次还会选择。', '短评打分': 5}
{'短评内容': ' 很舒适很安静', '短评打分': 3}
{'短评内容': '服务好，位置也比较好，和景区都比较近。房子收拾的很干净。', '短评打分': 5}
{'短评内容': '服务态度较好，手续办的比较快。房间环境较好', '短评打分': 5}
{'短评内容': '基本整洁干净，服务也不错。车子可停隔壁单位，安全。就是塞小卡片之类需管理。', '短评打分': 5}
{'短评内容': '酒店位置很不错，离轮渡和步行街都蛮近的，附近也有些吃东西的地方，很方便', '短评打分': 5}
{'短评内容': '酒店距离轮渡，中山路都只有三站路，我们都是走过去的，周边商店很多，很方便。服务态度不错，只是打扫卫生要和总台交代，否则是不主动打扫的，据说是为了环保。但房间里总会有垃圾，觉得每天打扫是必须的。', '短评打分': 5}
{'短评内容': '酒店地段不错，服务设施很好，十大免费项目很给力，尤其是免费提供地图、免费ITV点播节目、免费国内长途，对客人来说非常方便。美中不足的是住的房间烟味很重，怎么也散不了。', '短评打分': 5}
{'短评内容': '酒店服务态度太好了，还帮我们收拾了下房间，虽然我们被吓到了，以为进贼了，虚惊一场呵呵。卫生不错，电视也很多台，离轮渡也挺近的，挺满意的！', '短评打分': 3}
{'短评内容': '挺干净的，服务也不错，最主要的是端午节还送了二个大粽子。挺温馨的。', '短评打分': 5}
{'短评内容': '酒店位置佳，周边吃饭购物选择余地多，同等地段房价性价比高，酒店服务生态度好，推荐入住。', '短评打分': 5}
{'短评内容': '离汽车站蛮近的，这点很方便。但是酒店的墙上有点发霉，这点都点小失望。。。', '短评打分': 5}
{'短评内容': '去白鹭洲公园和步行街都非常方便，提供茶叶地图，非常实用！', '短评打分': 5}
{'短评内容': '环境不错，开始订的房间是榻榻米，不适应，加了差价换了，整个房间不错，稍微小一些。', '短评打分': 5}
{'短评内容': '入住個性大床房，首先房間比網站上的圖片小很多。第二，房間的窗簾都有污漬，我覺得在打掃房間的同時，也應該定期清洗一下窗簾其他硬件設施。該酒店每晚收取政府基金在網站標示可以顯眼一點，我訂房間時，完全沒看到提示，而且確認短信里也字字未提，感覺不是很好，入住8天，在網站訂購房間是1點退房，會員2點退房，我覺得在這點上可以人性化一點，住8天都不能晚一個小時退房感覺一點優惠都沒有。總之住過這麼多酒店，這次感覺', '短评打分': 5}
{'短评内容': '因为是晚上想去中山路逛街所以在青年阳光里选择这家酒店的，在网上订的所有酒店我都很满意除了这一家，网上明明说是188到了就说要198，我在厦门住的酒店都没有要政府基金除了他家，之前在他们网站上申请了会员说是可以打九二折到了又说只能是九五折，住的那天刚好生日什么表示也没有，总之不推荐。', '短评打分': 1}
{'短评内容': '进了房间床上居然有 虫子欢迎我们 不知道什么什么垃圾美的空调 制冷更本不制冷20平方的小房间居然让我热了一夜 开了2个房间都是这样子 不知道夏天怎么让客户睡觉 ', '短评打分': 1}
{'短评内容': '五一的时候，价格有点高，地理位置不错！！！', '短评打分': 5}
