{'descr': '还行，就是离主城太远', 'star': 4}
{'descr': '设施一般，周边环境方便', 'star': 4}
{'descr': '一般般啦', 'star': 1}
{'descr': '下载安装到手机里面', 'star': 3}
{'descr': '下载安装到手机里面', 'star': 3}
{'descr': '价格低，设施条件肯定会差一些的。', 'star': 4}
{'descr': '干净 便宜', 'star': 5}
{'descr': '还行吧！！', 'star': 4}
{'descr': '很好，周边的设施很齐全，比较方便，而且价格很实惠。', 'star': 5}
{'descr': '无线网络不好，电视几乎是废物，价格有优势', 'star': 4}
{'descr': '老电视，全是雪花', 'star': 4}
{'descr': '值这个价格', 'star': 4}
{'descr': '价钱还是比较合理的，但里面的设施一般吧，被子有点脏，凑合吧', 'star': 4}
{'descr': '便宜，但是如果能更干净点就更好了~~~~~~~', 'star': 5}
{'descr': '酒店不错～很干净，我很喜欢～哈哈', 'star': 3}
{'descr': '酒店不错～很干净，我很喜欢～哈哈', 'star': 3}
{'descr': '价格实惠，不过被子床单啥的感觉所有的99都一个样', 'star': 5}
{'descr': '价格实惠，不过被子床单啥的感觉所有的99都一个样', 'star': 5}
{'descr': '价格有优势，没电梯，有饮水机，房间还可以，就是床上用品，毛巾有点旧。', 'star': 5}
{'descr': '价格有优势，没电梯，有饮水机，房间还可以，就是床上用品，毛巾有点旧。', 'star': 5}
{'descr': '很好的服务.', 'star': 3}
{'descr': '很好的服务.', 'star': 3}
{'descr': '一开始觉得还不错，但是路上听司机说这个宾馆不值这个价钱，不过不是来旅游的也就无所谓了，住了两天，我是搬过来北京工作的。个人本身住宾馆酒店也好从来就没使用过里面的毛巾什么的，这次两个人住的，进去里面本来就只有一条浴巾，我自己带了毛巾，所以就没用，浴巾也是放衣服的时候给挪了一下才发现没有毛巾的，可是退房的时候打扫的大妈咬死了她肯定不会漏放一定是我们拿走了的。真是超级差的服务态度，虽然说一条毛巾3块而已', 'star': 1}
{'descr': '一开始觉得还不错，但是路上听司机说这个宾馆不值这个价钱，不过不是来旅游的也就无所谓了，住了两天，我是搬过来北京工作的。个人本身住宾馆酒店也好从来就没使用过里面的毛巾什么的，这次两个人住的，进去里面本来就只有一条浴巾，我自己带了毛巾，所以就没用，浴巾也是放衣服的时候给挪了一下才发现没有毛巾的，可是退房的时候打扫的大妈咬死了她肯定不会漏放一定是我们拿走了的。真是超级差的服务态度，虽然说一条毛巾3块而已', 'star': 1}
{'descr': '这次下塌99连锁我非常满意，基本需求都能被满足，环境比较整洁，服务周到，尤其价格在北京里真的很亲民。是单人出行的首选！呵呵', 'star': 3}
{'descr': '这次下塌99连锁我非常满意，基本需求都能被满足，环境比较整洁，服务周到，尤其价格在北京里真的很亲民。是单人出行的首选！呵呵', 'star': 3}
{'descr': '酒店位置不错，步行可以走到地铁站，服务人员很和善，走廊有免费饮水机。', 'star': 5}
{'descr': '酒店位置不错，步行可以走到地铁站，服务人员很和善，走廊有免费饮水机。', 'star': 5}
