{'短评内容': '适合带孩子，酒店位置舒服', '短评打分': 5}
{'短评内容': '酒店离内厝澳码头比较近，穿过各种小巷子才找到，离商业街要走十几分钟，没有想象中的大，但老板人真的好，而且鼓浪屿就那么大所以还好。去厦门唯一的感触就是碰到很多有趣热情的人，哈哈哈', '短评打分': 4}
{'短评内容': '很好 ', '短评打分': 5}
{'短评内容': '还可以，挺喜欢的！！', '短评打分': 5}
{'短评内容': '老板人很好，让我们知道了许多风土人情', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '看攻略都说来鼓浪屿都要住一晚，可能每个人的想法不同吧，我倒是觉得可以不用住鼓浪屿，房价比曾厝垵的贵，而且没什么好玩的，看个人而言吧，房间小，但是酒店服务的态度特别好！', '短评打分': 5}
{'短评内容': '顶层露台很大还有秋千哈哈，可以捉蜻蜓，房间很整洁不过岛上潮湿啊，大雨滂沱登岛心情崩溃啊', '短评打分': 4}
{'短评内容': '房间很空间很小，不过这价格也算实惠了。鼓浪屿酒店都不好找，因为那些路根迷宫似的，有点崩溃，还是建议抵达时打电话问酒店。房间卫生很好，干净，老板人不错，酒店旁边有个很高的阶梯，可以装逼拍照。', '短评打分': 5}
{'短评内容': '蛮好的，老板态度也好', '短评打分': 5}
{'短评内容': '环境不错 就是离码头稍远', '短评打分': 5}
{'短评内容': '很不错，静', '短评打分': 5}
{'短评内容': '环境一般，卫生还好，服务比较周到，早餐不太理想', '短评打分': 3}
{'短评内容': '环境一般，卫生还好，服务不错，早餐不理想', '短评打分': 3}
{'短评内容': '找了很久才找到的店。房间挺小的，很个房间都有主题，音乐旅馆以为是有小酒吧一类的原来是每个不同主题的房间有不同的音乐= =但是因为怕吵所以现在也木有音乐了。。。店在一个小巷子里，风景很不错，老板很热情，房间也很干净。就是有点小了', '短评打分': 5}
{'短评内容': '超赞！闹中取静 老板人也超级好！ 哈哈哈哈 下次去一定还住这里', '短评打分': 5}
{'短评内容': '就是有点难找，店家发短信告诉详细路线', '短评打分': 4}
{'短评内容': '老板前台都好好人啊 一去到就请喝茶 哈哈 房间好漂亮 睡得好舒服 给个好评!', '短评打分': 5}
{'短评内容': '酒店装修很别致，干净整洁，有点难找，但是老板发了详细的走法，还是可以找到的', '短评打分': 3}
{'短评内容': '床超舒服，而且老板服务态度也很好，很干净。', '短评打分': 5}
{'短评内容': '环境不错,就是地方有点难找,以后有机会再去', '短评打分': 5}
{'短评内容': '在鼓浪屿众多的小型旅馆中，真正有特色的并不多见，阿黛音乐旅馆算是其中的佼佼者，出来玩，玩的就是特色，否则再高档的宾馆也会令人乏味', '短评打分': 5}
{'短评内容': '特别特别难找，我们拎着行李在鼓浪屿上纠结了2个多小时，最后还是店家来接的我们。。。。。 日光海岸在一楼的门口，像传达室- - 感觉很奇怪，于是果断加钱换了2楼的宠物宝贝，还可以，房间隔音不好。卫生还不错，房间很漂亮的', '短评打分': 5}
{'短评内容': '好多虫子和蚊子啊，夏季不推荐入住，但是相对比较安静哦', '短评打分': 1}
{'短评内容': '好可爱的房间哦， 我在鼓浪屿的照片还没有在酒店照的多， 很好很好， 酒店里的hello kitty 房间很上镜。\n店员很热情，就是太安静了，居然还有鸽子的声音，不知道别的酒店会这样吗？还是因为整个岛都这样。。\n', '短评打分': 5}
{'短评内容': '强总，下次跟你去旅游。\n环境很好，远离人烟。\n喝喝茶，说说路人遇见的小事。\n有时觉得，人生的不过如此', '短评打分': 5}
{'短评内容': '相对于岛内同价位的酒店，算是不错了！服务还算到位，下次还去！', '短评打分': 5}
{'短评内容': '性价比还是不错的，房间不大，但是还挺干净，床很软，很舒服。价格在鼓浪屿上算便宜的，不过位置有点远，不过来岛上就是闲逛的，所以这点对我们来说还好。\n另外一点，如果是想体验那种小资的别墅旅馆，这里倒不是很合适，装修的比较现代，没什么太大的特色和情调，呵呵', '短评打分': 5}
{'短评内容': '挺可爱哒！', '短评打分': 3}
{'短评内容': '很不错，老板很热心，因为他会画乌龟地图，你们就不会丢了。', '短评打分': 3}
{'短评内容': '虽然地方比较难找，但既然去了鼓浪屿就该给不怕迷路。装修很漂亮，老板人超级热情，绝对是让人难忘的地方。强烈推荐', '短评打分': 5}
{'短评内容': '酒店很干净，房间布置很温馨，楼下还有公用电脑可以上网，就是位置不太好找，总体感觉不错。', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全，就是离鼓浪屿景点有点远', '短评打分': 5}
{'短评内容': '房间虽然不大但是挺干净的，老板态度挺好的.', '短评打分': 5}
{'短评内容': '服务态度很好，有住家里的感觉，而且很安静。尤其是有独立卫生间，非常方便。', '短评打分': 5}
{'短评内容': ' 环境和房间比较满意 就是空调制冷效果太弱  ', '短评打分': 3}
{'短评内容': '店里的人员非常好客。唯一不足的是第一晚住的日光海岸有异味，而且一直不散，建议大家选择其他房住~还好老板第二晚给我换了间。房间总体感觉不错！可能离中心远少少，第一次去比较难找~', '短评打分': 1}
{'短评内容': '还不错..装饰的很好...老板人也不错..', '短评打分': 5}
