{'短评内容': '很好位置好，房间干净，', '短评打分': 5}
{'短评内容': '交通方便，性价比高', '短评打分': 4}
{'短评内容': '安通方便，性价比高', '短评打分': 4}
{'短评内容': '交通方便，附近吃的挺多，性价比高', '短评打分': 4}
{'短评内容': '酒店服务非常好！尤其是前台女服务，态度非常好！热情，耐心！建议大家选择这家店！', '短评打分': 5}
{'短评内容': '是不错的酒店', '短评打分': 4}
{'短评内容': '早餐餐盘建议换个大点的', '短评打分': 5}
{'短评内容': '交通位置方便，性价比还行，隔音一般，早餐一般。', '短评打分': 5}
{'短评内容': '好的不得了', '短评打分': 5}
{'短评内容': '很好 价格很优惠 比其他平台都便宜  定酒店还是京东给力', '短评打分': 5}
{'短评内容': '卫生条件，地理位置都不错。', '短评打分': 5}
{'短评内容': '卫生还可以，环境略差', '短评打分': 5}
{'短评内容': '离开会的地方很近，从火车站过来也很方便，周围吃喝都有，早餐略显简单，总体不错', '短评打分': 4}
{'短评内容': '停车不太方便#', '短评打分': 4}
{'短评内容': '住的时候旁边道路在施工，大晚上的，要求换了房间', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '服务态度很好，每次出差都住这里了', '短评打分': 5}
{'短评内容': '每次出差都住这，洗澡是温泉水，服务态度很好', '短评打分': 5}
{'短评内容': '每次出差都住这，洗澡是温泉水，服务态度好', '短评打分': 5}
{'短评内容': '房间有点小 隔音不好 好在地段好 出行方便', '短评打分': 4}
{'短评内容': '就在这就是为了去办事的地方方便，房间的隔音效果非常不好，窗外的施工声音彻夜不停。住了两个晚上，都是这样，夜里休息不好。除了洗澡水不错之外，其他的乏善可陈。塞小卡片相当猖獗，一晚上差不多十几张的样子。', '短评打分': 1}
{'短评内容': '不错性价比，就是有点吵地铁施工中，早餐还不错', '短评打分': 5}
{'短评内容': '早餐的样式比较简单，只有包子和稀饭、鸡蛋、和粉干。', '短评打分': 3}
{'短评内容': '本人严重不推荐！！！！房间小，床垫硬，还有点潮湿，网速也慢！外边修地铁，很吵。', '短评打分': 1}
{'短评内容': '还不错吧，就是觉得价格贵了，不过有早餐的', '短评打分': 5}
{'短评内容': '路段繁华，交通方便，由于修地铁但噪音较大。', '短评打分': 1}
{'短评内容': '性价比挺好，华林路在施工地铁，有些噪音。', '短评打分': 3}
{'短评内容': '条件一般，装潢稍差，但尚实惠。。。。。。。。。', '短评打分': 5}
{'短评内容': '条件一般，装潢稍差，但尚实惠,有早餐!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '床不怎么样太差了，温泉水蛮好的，房间无电吹风', '短评打分': 3}
{'短评内容': '帮同事订的，觉得环境还可以，价钱合理，就是觉得硬件设施方面有点旧了。', '短评打分': 5}
{'短评内容': '房间较整洁，床垫貌似比较差，卫生间没有独立淋浴区，总体感觉还行。', '短评打分': 5}
{'短评内容': '酒店的环境只能说是一般般，在市中心这个价位这种环境可以选择——如果想省钱的话。送的早餐不吃也罢，灯都不舍得开也罢了，关键是看到厨师把湿漉漉的碗筷直接就放里面了，怪不得我拿出来的筷子是湿的——没消毒！！！总的来说，最不满意的就是早餐了，其他还好。', '短评打分': 5}
{'短评内容': '一般性快捷酒店，没什么特别推荐的，就是周边吃喝玩乐还算是方便，交通也便利。价格嘛，熟悉行规的人不言而喻-----', '短评打分': 1}
{'短评内容': '靠路边。附近吃的和交通都还算方便。 总体还行。', '短评打分': 5}
{'短评内容': '地方还是挺不错的', '短评打分': 3}
{'短评内容': '环境很好周边交通又方便', '短评打分': 3}
{'短评内容': '价格还可以，但是靠近马路的房间有些吵……', '短评打分': 5}
{'短评内容': '晚上有人发小卡片好几次，早餐过于简单。全都是限量供应。', '短评打分': 1}
{'短评内容': '价格便宜。离市区很近。可以考虑。去汽车站火车站相当近', '短评打分': 5}
{'短评内容': '环境还可以，就是车不好停放，其它都还行！', '短评打分': 3}
{'短评内容': '环境很好主要是干净，很满意', '短评打分': 3}
{'短评内容': '酒店干净，服务郝，里吃的。购物都近。温泉也很好。', '短评打分': 5}
{'短评内容': '还可以，对得起价钱。位于华林路，算是市中心，出行很方便。', '短评打分': 5}
{'短评内容': '我们已入住同悦温泉酒店。房间略小，设备尚可。', '短评打分': 3}
{'短评内容': '早餐N烂，房间有点脏，特别是被子，感觉像是没洗，窗帘都坏掉了', '短评打分': 1}
{'短评内容': '酒店环境很不错，卫生也很好.住的非常愉快。', '短评打分': 5}
