{'短评内容': '酒店很好找，环境也很好，很满意', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧，旁边在修路，有点吵', '短评打分': 4}
{'短评内容': '前台很好，很有耐心。酒店环境很棒。', '短评打分': 5}
{'短评内容': '第四次入住，已经习惯这里的方便了。停车方便、坐公交方便、吃饭方便，住的也舒服。就是如果碰到旁边的房间有个说话大声的，也挺烦人的，住了四次碰到两次，也没搞清楚是隔音有问题还是就是说话声太大。', '短评打分': 4}
{'短评内容': '早餐挺好', '短评打分': 5}
{'短评内容': '早餐一般，附近工地好吵，基础设施还可以', '短评打分': 5}
{'短评内容': '实惠，干净不错', '短评打分': 5}
{'短评内容': '环境牛逼，带早餐，吃的好，吃的饱，没毛病', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好', '短评打分': 4}
{'短评内容': '交通便利，环境舒适，房间整洁，空间宽敞，服务还可，办事方便。', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '挺好的房间，也很实惠，每次出差都来这里。', '短评打分': 5}
{'短评内容': '环境卫生干净，服务周到，位置好交通方便，赞一个！', '短评打分': 5}
{'短评内容': '住的比较舒适', '短评打分': 5}
{'短评内容': '性价比还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '可以阁楼1.50的床', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般吧。每次去青岛都住的。还可以', '短评打分': 4}
{'短评内容': '地段差，不容易打车。房间设施陈旧，电水壶不自动断电，浴室花撒头不出水。早餐选择不多，没煎蛋，没面包，咖啡是冷的……', '短评打分': 3}
{'短评内容': '服务不错,卫生条件较好。', '短评打分': 3}
{'短评内容': '酒店位置不错 房间干净 服务也不错 早餐也可以 下次还住', '短评打分': 5}
{'短评内容': '位置不错 服务态度好 干净 早餐也可以 下次还住', '短评打分': 5}
{'短评内容': '房间隔因不好,隔壁说话听得非常清楚,昨晚隔壁竟然聊天到零晨两点?', '短评打分': 3}
{'短评内容': '一般，尤其是早餐，差！', '短评打分': 3}
{'短评内容': '酒店周边环境不错，离乐天玛特、皮草城等都比较近，还有商场，购物方便，生活配套还好。', '短评打分': 5}
{'短评内容': '酒店里面还算比较干净，只是门子隔音不太好，走廊里声音很清楚。', '短评打分': 5}
{'短评内容': '离展馆真的很近，离北门就隔条马路。走着也就不到十分钟', '短评打分': 5}
{'短评内容': '周宇新已入住改酒店', '短评打分': 3}
{'短评内容': '还不错，服务很好。需要什么很快会提供，只是洗漱用品要收费可能不是所有人都会接受。', '短评打分': 5}
{'短评内容': '服务上很满意，热情周到，位置很好，游玩参展都挺方便的。', '短评打分': 5}
{'短评内容': '酒店各方面都还不错，尤其服务，细心周到，让人感觉很贴心。', '短评打分': 5}
{'短评内容': '楼下的餐厅饭菜很可口，价格也不贵，建议尝试一下，周边环境很好，离海边很近，游玩很方便。', '短评打分': 3}
{'短评内容': '酒店位置挺不错，离海边挺近，游玩很方便。内部环境也挺好，住的也挺舒适 。', '短评打分': 5}
{'短评内容': '酒店很好，早餐很差，品种太少，房间空调也不是很热，有点冷啊。', '短评打分': 5}
{'短评内容': '服务意识挺强，卫生也还好，位置挺不错，楼下餐厅饭菜挺可口的。', '短评打分': 5}
{'短评内容': '酒店位置挺好，离海边很近，空气很好，游玩很方便。', '短评打分': 5}
{'短评内容': '服务上挺不错，态度热情，服务周到，这点让我很满意。', '短评打分': 3}
