{'短评内容': '都很好', '短评打分': 5}
{'短评内容': '很实惠的酒店。。。周围吃的超多。。靠近银座。。很方便。。。各位出差游玩的亲们推荐住这里。。。', '短评打分': 5}
{'短评内容': '各方面都很不错', '短评打分': 5}
{'短评内容': '挺好的   很干净', '短评打分': 5}
{'短评内容': '装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wifi好、服务好、布草好、安全干净！装修好、设施好、淋浴好、wi', '短评打分': 5}
{'短评内容': '装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草干净，值得推荐！装修好，设施好，淋浴好，服务好，布草', '短评打分': 5}
{'短评内容': '酒店房间布草很干净，也很温馨，浴室的热水也很好，一次性用品都有，浴巾也是独立封包的，值得推荐酒店房间布草很干净，也很温馨，浴室的热水也很好，一次性用品都有，浴巾也是独立封包的，值得推荐酒店房间布草很干净，也很温馨，浴室的热水也很好，一次性用品都有，浴巾也是独立封包的，值得推荐酒店房间布草很干净，也很温馨，浴室的热水也很好，一次性用品都有，浴巾也是独立封包的，值得推荐酒店房间布草很干净，也很温馨，浴', '短评打分': 5}
{'短评内容': '客房比较干净，有免费的牙具和沐浴液洗发水，没香皂。总体来说还是可以的', '短评打分': 5}
{'短评内容': '房间不错。', '短评打分': 5}
{'短评内容': '很成功的一次酒店预定，工作人员服务周到，耐心，卫生方面值得点赞。第一次选择七天连锁店，还真的不错，下次还订七天，但愿还会有更多的惊喜。', '短评打分': 5}
{'短评内容': '环境卫生都很好 就是被子和床全都是潮湿的 真的很不服 希望可以照顾一下顾客的感受', '短评打分': 4}
{'短评内容': '环境还行，交通便利，前台服务态度还不错哦。离泰山也很近，打车过去，大概八元。周边有很多吃的小店，吃东西也很方便。', '短评打分': 5}
{'短评内容': '房间很小，不能忍受的是窗户只有正常窗户的3分之1大，很憋闷。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错，靠近火车站，农业大学，不错', '短评打分': 5}
{'短评内容': '酒店位置方便，房间太小', '短评打分': 4}
{'短评内容': '酒店位置不错，交通方便，吃饭也比较方便，就是房间比较小，标准的经济型酒店', '短评打分': 4}
{'短评内容': '停车方便', '短评打分': 5}
