{'短评内容': '不错', '短评打分': 5}
{'短评内容': '已經完成付款，后兩天，卻不让入住。漲幅到200卻让我去找旁边的小酒店入住，說沒有房間，让我取消付款。已經付錢怎麼可以這樣的。七天管理有問題。', '短评打分': 3}
{'短评内容': '长沙人真多啊！', '短评打分': 5}
{'短评内容': '一', '短评打分': 4}
{'短评内容': '房间挺干净卫生的就是价格不便宜', '短评打分': 5}
{'短评内容': '很火爆哦', '短评打分': 5}
{'短评内容': '没电梯', '短评打分': 5}
{'短评内容': '一如既往', '短评打分': 4}
{'短评内容': '地段不错，交通也算方便，价格适中', '短评打分': 4}
{'短评内容': '几酒店环境一般', '短评打分': 5}
{'短评内容': '还行', '短评打分': 2}
{'短评内容': '太差劲了', '短评打分': 1}
{'短评内容': '地理位置真的好好 房间划算吧', '短评打分': 5}
{'短评内容': '地段很好，性价比不错', '短评打分': 4}
{'短评内容': '很干净 服务员也很好 地理位置也不错', '短评打分': 5}
{'短评内容': '干净卫生，前台服务人员耐心细致，服务态度很好', '短评打分': 5}
{'短评内容': '干净卫生，前台服务人员耐心细致，服务态度很好', '短评打分': 4}
