{'短评内容': '睡的不舒服', '短评打分': 1}
{'短评内容': '挺干净的但是隔音不好', '短评打分': 5}
{'短评内容': '服务员很耐心，服务热情，性价比高，环境好，价格实惠，床舒适，房间干净，服务热情，位置好，交通便利，设施好，房间新装修过的，设施给力，独立WiFi，封包浴巾，用的非常放心，位置不错，环境好，设施新，服务好，干净整洁，价格实惠，性价比高，体验好，服务好，周到热情礼貌，环境好住的很舒心，服务超赞，卫生干净，性价比高，经济实惠，晚上安静，睡得十分踏实，干净整洁环境还好，价格实惠\xa0床舒服，房间干净，服务热情', '短评打分': 5}
{'短评内容': '带孩子考试入住了7天天马店，地理位置有些偏，交通不是很方便。酒店楼下是菜市场，还有一个老年人活动中心，鼓点很强，让人不舒服，不过晚上10点就安静了。酒店设施老旧，服务态度还是很好的。', '短评打分': 4}
{'短评内容': '位置酒店蛮好，外地来的没早餐不方便，房子价钱有点偏高，', '短评打分': 3}
{'短评内容': '正在修马路 吵了一晩上 这次旅行感觉非常糟糕', '短评打分': 2}
{'短评内容': '还不错哟！', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '酒店位置临近天马医院，有点偏，周围小吃很多，但是每天晚上在21点40前有蹦迪的声音，在顶楼都听得一清二楚，震的脑袋疼，卫生什么的都可以，前台服务人员太少，不过态度尚好，就是服务人少效率低，客人如果有急事会比较心焦。', '短评打分': 4}
{'短评内容': '周边正在改造', '短评打分': 5}
{'短评内容': '还是不错的，起码比预想的要好很多，很干净，房间不是很大', '短评打分': 5}
{'短评内容': '酒店外就是菜场，而却在修路，环境不太好。出行不方便。位置在天马小区附近', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
