{'短评内容': '还以为星沙步行街都是小吃呢整条街很冷清', '短评打分': 5}
{'短评内容': '很好，下次再来', '短评打分': 5}
{'短评内容': '非常的可以，很棒', '短评打分': 5}
{'短评内容': '酒店的服务还不错，空调制冷很好，燥热的夏季，刚到房间瞬间感觉天堂一样，周边的餐饮很多，步行街里面很多家卖吃的，', '短评打分': 4}
{'短评内容': '跟七天一样', '短评打分': 4}
{'短评内容': '房间比较暗，一般般', '短评打分': 4}
{'短评内容': '还不错吧，', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以就是用品要收费', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错，和7天是近亲。', '短评打分': 3}
{'短评内容': '一直住的 酒店位置不错 价格实惠', '短评打分': 5}
{'短评内容': '一直住的 酒店位置不错 价格实惠', '短评打分': 5}
{'短评内容': '酒店还不错 位置可以 价格也很便宜...', '短评打分': 5}
{'短评内容': '办事方便，吃喝方便，服务一般，房间紧凑，没有安保。', '短评打分': 5}
{'短评内容': '安保方面几乎没有，天天都有塞名片的，这个比较烦', '短评打分': 5}
{'短评内容': '出行方便，就近办事也方便，服务有所下降，有点不喜欢了。', '短评打分': 5}
{'短评内容': '房间小，毕竟只这个价格，周边热闹，吃喝方便，交通也不错，就是每天有人塞名片比较嫌。', '短评打分': 5}
{'短评内容': '总体感觉还可以，就是房间死角没有清理干净，提出后能很好处理，网络在关键时候有断网的情况，差点想临时客串一下酒店的网管。', '短评打分': 5}
{'短评内容': '位置很好，办事吃饭都方便，房间比7天略大，其余跟7天一样一样的。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '昨天订的商务电脑房子 今天来一看里面比较清新 毕竟新开的 就是空间小了点啊', '短评打分': 5}
