{'descr': '还行', 'star': 4}
{'descr': '还可以吧', 'star': 4}
{'descr': '感觉一般~~~地方太小，。', 'star': 3}
{'descr': '服务态度很好，地理位置方便，卫生干净。', 'star': 5}
{'descr': '还不错，第二次入驻了......离火车站近', 'star': 4}
{'descr': '还行吧，就是房间比较闷。', 'star': 4}
{'descr': '房间太小，而且还给安排的一楼的房间，带着孩子住，感觉很不好！', 'star': 4}
{'descr': '去了没有热水，貌似整个都是用冷水洗澡的，还好这两天热，也可以。现在住宿都是没有牙膏牙刷肥皂了嘛？是我out了？', 'star': 4}
{'descr': '设施比较老旧，位置也算比较偏，奔着连锁酒店的招牌去的，价格跟上了其他门店的价格，设施对不起这个价格，这是我到目前为止住过性价比最差的酒店', 'star': 3}
{'descr': '总体还行，服务不错，就是无线连不上，室内信号差，空调效果一般，其他都还好', 'star': 4}
{'descr': '至少输入15字？为什么？因为至少输入15字！这下够了吧…', 'star': 5}
{'descr': '还不错，', 'star': 4}
{'descr': '位置挺好的，离地铁8号线很近，去人民广场和南京路都很方便。', 'star': 4}
{'descr': '交通便利，条件一般', 'star': 4}
{'descr': '还可以', 'star': 5}
