{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '性价比可以，便宜', '短评打分': 3}
{'短评内容': '没早餐，不能加床，位置在南湖车站旁边，可停车，可以带孩子，最好不带孩子', '短评打分': 3}
{'短评内容': '装修可以，马桶还用透明胶带维上，关键是热水不热，早上居然美热水', '短评打分': 3}
{'短评内容': '不行', '短评打分': 1}
{'短评内容': '房间空调制热都坏了，一晚都没睡好，以后再也不住这些私店了！', '短评打分': 3}
{'短评内容': '环境一般，交通便利，价格适中', '短评打分': 4}
{'短评内容': '无线网络超级差！！！！！！', '短评打分': 3}
{'短评内容': '还可以吧，就是厕所返味道，其他的还可以。', '短评打分': 5}
{'短评内容': '非常舒服。也特别的好，下次还去这一家', '短评打分': 5}
{'短评内容': '还行吧！！卫生也还可以！', '短评打分': 5}
{'短评内容': '从火车站到该酒店公交比较方便，起点站到终点南湖汽车站才1元，打的得16元。酒店房间里为中央空调，24小时热水，住的标准间价格适宜，周边吃饭方便、便宜，值得推荐。', '短评打分': 5}
{'短评内容': '贪便宜订了这个酒店，后悔死了。房间小，地毯脏，床上有死蚊子，拉开被子还有弯弯的毛发。卫生间一股味道，蚊子超多。位置也难找，在一小区门口拐弯上面', '短评打分': 1}
{'短评内容': '不错，环境也不错！', '短评打分': 3}
{'短评内容': '环境特别好，舒适干净~性价比很高，极力推荐推荐', '短评打分': 5}
{'短评内容': '  门是坏的， 我住了两天，两天都有服务员无缘无故的 闯进房间，而且还不敲门， 我有点怀疑这个 酒店的安全问题。\n安静 就只有这个好点。', '短评打分': 1}
